country,gdp_per_capita,gdp_growth,inflation,unemployment,exports_gdp,life_expectancy,infant_mortality,fertility_rate,health_expenditure,physicians,literacy_rate,school_enrollment_secondary,school_enrollment_tertiary,electricity_access,renewable_energy,mobile_subscriptions,internet_users,control_corruption,government_effectiveness,population,urban_population,poverty_ratio
Uganda,2881.8659466843,6.13645201846398,3.32338067086562,2.941,16.9052124080191,68.252,27.6,4.283,,0.168,,,,51.5,90.9,76.2967,8.94983,-1.04257476329803,-0.549508571624756,50015092,27.389,
Ukraine,16319.8447265625,2.91382221470535,6.50198464669252,,29.4102139813249,73.422,7.8,0.977,,,,,85.2667604023424,100.0,,122.758,,-0.686146318912506,-0.357320100069046,37860221,70.284,
United Arab Emirates,68584.65491599,3.76161544553149,1.66336510224892,2.133,,82.909,4.0,1.2,,,98.8099975585938,102.129724902444,63.7384451086316,100.0,,199.424,100.0,1.07366383075714,1.60428190231323,10876981,88.008,
United Kingdom,52517.9848574945,1.10066786639271,3.27157294635921,4.111,30.6377190511784,81.2380975609756,4.0,1.56,10.872015,3.174,,,,100.0,,122.796,,1.48091387748718,1.16114270687103,69226000,84.884,
United States,75491.6084348903,2.79619035621393,2.94952520485207,4.106,10.8968750610333,78.3853658536585,5.5,1.6165,,,,,,100.0,,112.411,,1.12343263626099,1.21720099449158,340110988,83.515,
Uruguay,32038.7727288227,3.10825478066172,4.84914366613156,8.401,28.7607719167193,78.138,5.5,1.409,,4.63,98.9100036621094,,,100.0,,141.719,91.9911,1.57394731044769,0.850249707698822,3386588,95.852,17.3
Uzbekistan,10450.2051402852,6.49999999997677,9.62825465956682,4.488,22.7657914961328,72.388,12.7,3.5,,,,96.8399222342106,56.517478700865,100.0,,106.885,,-0.807529330253601,-0.283767521381378,36361859,50.626,8.9
Vanuatu,3169.23242933515,3.96725830607052,,5.064,,71.477,14.2,3.596,,,,,,61.6,25.0,89.2943,,-0.0148651544004679,-0.568605482578278,327777,26.147,
"Venezuela, RB",,,,5.475,,72.514,21.5,2.079,,,,97.7908172607422,,100.0,,70.2197,,-1.69000518321991,-1.599200963974,28405543,88.505,
Viet Nam,14415.2159532813,7.09118746633975,3.62109273885847,1.431,,74.588,14.0,1.913,,,,,37.5923642016718,99.8,,130.991,84.15,-0.415814280509949,0.126466900110245,100987686,40.195,
Virgin Islands (U.S.),,,,12.014,,80.519512195122,,1.98,,,,,,100.0,5.9,,,-0.018456656485796,0.654167771339417,104377,96.314,
West Bank and Gaza,3845.50297375419,-26.5575264529877,53.6691458303782,,21.0398873905084,65.17,14.3,3.311,,,97.9449803653341,,,100.0,15.4,76.6919,,-0.676133513450623,-1.20955741405487,5289152,77.877,
"Yemen, Rep.",,,,17.086,,69.295,34.7,4.59,,,,,,83.6,,50.8938,,-1.64893329143524,-2.27542042732239,40583164,40.477,
Zambia,3716.037353331,4.0431482994443,14.9856262747939,5.961,,66.349,30.9,4.101,,0.262,,56.7889289855957,,51.1,,102.062,,-0.477706879377365,-0.658970057964325,21314956,46.914,
Zimbabwe,3450.12970768715,2.02948414337123,,8.554,22.1056774617631,62.775,40.6,3.724,,0.166,,,7.74912957845971,62.0,,91.6344,,-1.26121604442596,-1.17033493518829,16634373,32.67,
